winloss,date,score,opponent,location,year,record,coach,conference
W,"Sat, October 17",7 - 6,Colorado College,"Provo, UT",1925,3-3 (0.500),Charles J. Hart,Rocky Mountain Athletic Conference
L,"Sat, October 24",0 - 14,Utah St,"Logan, UT",1925,3-3 (0.500),Charles J. Hart,Rocky Mountain Athletic Conference
L,"Sat, October 31",0 - 27,Utah,"Provo, UT",1925,3-3 (0.500),Charles J. Hart,Rocky Mountain Athletic Conference
W,"Sat, November 7",39 - 6,Western St Colorado,"Provo, UT",1925,3-3 (0.500),Charles J. Hart,Rocky Mountain Athletic Conference
W,"Sat, November 21",16 - 7,Montana St,"Provo, UT",1925,3-3 (0.500),Charles J. Hart,Rocky Mountain Athletic Conference
L,"Sat, October 2",0 - 17,UC Davis,"Provo, UT",1926,1-5-1 (0.143),Charles J. Hart,Rocky Mountain Athletic Conference
L,"Sat, October 9",6 - 12,Northern Colorado,"Greeley, CO",1926,1-5-1 (0.143),Charles J. Hart,Rocky Mountain Athletic Conference
T,"Fri, October 15",0 - 0,Utah St,"Provo, UT",1926,1-5-1 (0.143),Charles J. Hart,Rocky Mountain Athletic Conference
W,"Sat, October 23",30 - 0,Western St Colorado,"Gunnison, CO",1926,1-5-1 (0.143),Charles J. Hart,Rocky Mountain Athletic Conference
L,"Sat, November 6",0 - 27,Montana St,"Bozeman, MT",1926,1-5-1 (0.143),Charles J. Hart,Rocky Mountain Athletic Conference
L,"Sat, November 13",7 - 40,Utah,"Salt Lake City, UT",1926,1-5-1 (0.143),Charles J. Hart,Rocky Mountain Athletic Conference
L,"Sat, November 20",6 - 19,Colorado St,"Provo, UT",1926,1-5-1 (0.143),Charles J. Hart,Rocky Mountain Athletic Conference
L,"Sat, October 8",0 - 29,Colorado St,"Fort Collins, CO",1927,2-4-1 (0.286),Charles J. Hart,Rocky Mountain Athletic Conference
T,"Sat, October 15",0 - 0,UC Davis,"Davis, CA",1927,2-4-1 (0.286),Charles J. Hart,Rocky Mountain Athletic Conference
L,"Sat, October 22",7 - 21,Northern Colorado,"Provo, UT",1927,2-4-1 (0.286),Charles J. Hart,Rocky Mountain Athletic Conference
L,"Sat, October 29",0 - 22,Utah St,"Logan, UT",1927,2-4-1 (0.286),Charles J. Hart,Rocky Mountain Athletic Conference
W,"Sat, November 5",60 - 7,Western St Colorado,"Provo, UT",1927,2-4-1 (0.286),Charles J. Hart,Rocky Mountain Athletic Conference
L,"Sat, November 12",0 - 20,Utah,"Provo, UT",1927,2-4-1 (0.286),Charles J. Hart,Rocky Mountain Athletic Conference
W,"Sat, November 19",38 - 19,Colorado School of Mines,"Provo, UT",1927,2-4-1 (0.286),Charles J. Hart,Rocky Mountain Athletic Conference
W,"Sat, September 29",9 - 6,College of Idaho,"Provo, UT",1928,3-3-1 (0.429),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 6",7 - 6,UC Davis,"Provo, UT",1928,3-3-1 (0.429),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 13",6 - 15,Colorado St,"Fort Collins, CO",1928,3-3-1 (0.429),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 20",46 - 0,Western St Colorado,"Gunnison, CO",1928,3-3-1 (0.429),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 27",0 - 10,Utah St,"Provo, UT",1928,3-3-1 (0.429),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, November 3",7 - 19,Montana St,"Bozeman, MT",1928,3-3-1 (0.429),G. Ottinger ,Rocky Mountain Athletic Conference
T,"Sat, November 17",0 - 0,Utah,"Salt Lake City, UT",1928,3-3-1 (0.429),G. Ottinger ,Rocky Mountain Athletic Conference
T,"Sat, September 21",7 - 7,Brigham Young Alumni (UT),Practice Game? - ,1929,6-3-1 (0.600),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, September 21",37 - 0,Green River Union Pacific (UT),Practice Game? - ,1929,6-3-1 (0.600),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, September 28",10 - 7,Nevada,"Practice Game? - Reno, NV",1929,6-3-1 (0.600),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sun, October 6",0 - 19,UC Davis,"Practice Game? - Davis, CA",1929,6-3-1 (0.600),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 12",12 - 13,Montana St,"Provo, UT",1929,6-3-1 (0.600),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 19",7 - 6,Utah St,"Logan, UT",1929,6-3-1 (0.600),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 26",33 - 12,Western St Colorado,"Provo, UT",1929,6-3-1 (0.600),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, November 2",13 - 45,Utah,"Salt Lake City, UT",1929,6-3-1 (0.600),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Mon, November 11",25 - 13,Northern Colorado,"Provo, UT",1929,6-3-1 (0.600),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, November 23",40 - 0,Wyoming,"Provo, UT",1929,6-3-1 (0.600),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, September 20",28 - 19,Brigham Young Alumni (UT),Practice Game? - ,1930,6-2-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, September 27",19 - 12,Wyoming,"Provo, UT",1930,6-2-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
T,"Sat, October 4",6 - 6,Nevada,"Provo, UT",1930,6-2-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
T,"Sat, October 11",7 - 7,Northern Colorado,"Greeley, CO",1930,6-2-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 18",7 - 34,Utah,"Salt Lake City, UT",1930,6-2-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 25",25 - 0,Western St Colorado,"Gunnison, CO",1930,6-2-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, November 1",39 - 14,Utah St,"Ogden, UT",1930,6-2-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
T,"Sat, November 8",13 - 13,Carroll (MT),"Helena, MT",1930,6-2-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, November 15",19 - 6,Montana St,"Provo, UT",1930,6-2-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, November 22",18 - 6,Regis (CO),"Denver, CO",1930,6-2-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
T,"Thu, November 27",13 - 13,College of Idaho,"Caldwell, ID",1930,6-2-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Wed, December 10",13 - 49,Hawai'i,"Honolulu, HI",1930,6-2-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, September 18",7 - 3,Utah-BYU All-Stars,"Ogden, UT",1931,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Fri, September 25",0 - 25,San Francisco (CA),"San Francisco, CA",1931,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 3",18 - 14,Nevada,"Reno, NV",1931,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 17",0 - 43,Utah,"Salt Lake City, UT",1931,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 24",31 - 0,Western St Colorado,"Provo, UT",1931,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 31",0 - 6,Northern Colorado,"Greeley, CO",1931,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, November 7",6 - 0,Utah St,"Ogden, UT",1931,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Fri, November 13",7 - 13,Wyoming,"Provo, UT",1931,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, September 23",6 - 0,Montana St,"Ogden, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, September 23",6 - 0,Montana St,"Ogden, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 1",28 - 6,Western St Colorado,"Gunnison, CO",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 1",28 - 6,Western St Colorado,"Gunnison, CO",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, October 7",46 - 0,Occidental (CA),"Los Angeles, CA",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, October 7",46 - 0,Occidental (CA),"Los Angeles, CA",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 15",0 - 29,Utah,"Salt Lake City, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 15",0 - 29,Utah,"Salt Lake City, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 22",20 - 2,Northern Colorado,"Provo, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 22",20 - 2,Northern Colorado,"Provo, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 29",25 - 0,Wyoming,"Laramie, WY",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 29",25 - 0,Wyoming,"Laramie, WY",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, November 4",32 - 0,Idaho St,"Pocatello, ID",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, November 4",32 - 0,Idaho St,"Pocatello, ID",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, November 19",18 - 6,Utah St,"Provo, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, November 19",18 - 6,Utah St,"Provo, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Thu, November 24",13 - 7,South Dakota,"Ogden, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Thu, November 24",13 - 7,South Dakota,"Ogden, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, September 23",6 - 0,Montana St,"Ogden, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, September 23",6 - 0,Montana St,"Ogden, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 1",28 - 6,Western St Colorado,"Gunnison, CO",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 1",28 - 6,Western St Colorado,"Gunnison, CO",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, October 7",46 - 0,Occidental (CA),"Los Angeles, CA",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, October 7",46 - 0,Occidental (CA),"Los Angeles, CA",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 15",0 - 29,Utah,"Salt Lake City, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 15",0 - 29,Utah,"Salt Lake City, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 22",20 - 2,Northern Colorado,"Provo, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 22",20 - 2,Northern Colorado,"Provo, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 29",25 - 0,Wyoming,"Laramie, WY",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 29",25 - 0,Wyoming,"Laramie, WY",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, November 4",32 - 0,Idaho St,"Pocatello, ID",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, November 4",32 - 0,Idaho St,"Pocatello, ID",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, November 19",18 - 6,Utah St,"Provo, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, November 19",18 - 6,Utah St,"Provo, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Thu, November 24",13 - 7,South Dakota,"Ogden, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Thu, November 24",13 - 7,South Dakota,"Ogden, UT",1932,8-1 (0.889),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, September 23",0 - 21,San Diego Marines (CA),"San Diego, CA",1933,5-4 (0.556),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, September 30",25 - 0,Montana St,"Provo, UT",1933,5-4 (0.556),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, October 6",6 - 2,Northern Colorado,"Greeley, CO",1933,5-4 (0.556),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 14",6 - 21,Utah,"Salt Lake City, UT",1933,5-4 (0.556),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 21",13 - 0,Western St Colorado,"Gunnison, CO",1933,5-4 (0.556),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, November 4",0 - 6,Denver,"Denver, CO",1933,5-4 (0.556),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, November 11",25 - 0,Colorado College,"Colorado Springs, CO",1933,5-4 (0.556),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, November 18",0 - 14,Utah St,"Logan, UT",1933,5-4 (0.556),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Thu, November 30",6 - 3,Wyoming,"Provo, UT",1933,5-4 (0.556),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, September 22",20 - 6,Montana St,"Great Falls, MT",1934,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, September 29",32 - 7,Occidental (CA),"Provo, UT",1934,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 6",0 - 7,Wyoming,"Laramie, WY",1934,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 13",0 - 43,Utah,"Salt Lake City, UT",1934,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 20",6 - 48,Colorado,"Ogden, UT",1934,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, October 26",46 - 0,Western St Colorado,"Gunnison, CO",1934,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, November 3",0 - 15,Utah St,"Provo, UT",1934,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, November 10",34 - 19,Colorado College,"Colorado Springs, CO",1934,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, November 17",6 - 24,Denver,"Denver, CO",1934,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, September 28",0 - 7,Montana St,"Bozeman, MT",1935,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 12",19 - 3,Northern Colorado,"Provo, UT",1935,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 19",12 - 13,Colorado College,"Provo, UT",1935,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 26",13 - 6,Wyoming,"Laramie, WY",1935,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, November 2",0 - 32,Utah,"Provo, UT",1935,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, November 9",21 - 2,Western St Colorado,"Gunnison, CO",1935,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, November 16",0 - 27,Utah St,"Logan, UT",1935,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, November 23",13 - 0,Arizona St,"Tempe, AZ",1935,4-4 (0.500),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Fri, September 25",6 - 32,Arizona,"Tucson, AZ",1936,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, October 3",19 - 0,Montana St,"Provo, UT",1936,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Fri, October 9",33 - 0,Northern Colorado,"Greeley, CO",1936,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 17",0 - 13,Utah St,"Provo, UT",1936,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, October 31",0 - 18,Utah,"Salt Lake City, UT",1936,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, November 7",26 - 12,Western St Colorado,"Provo, UT",1936,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, November 14",7 - 35,Denver,"Denver, CO",1936,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, November 21",32 - 7,Wyoming,"Provo, UT",1936,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
L,"Sat, November 28",0 - 6,Colorado College,"Colorado Springs, CO",1936,4-5 (0.444),G. Ottinger ,Rocky Mountain Athletic Conference
W,"Sat, September 25",7 - 0,Northern Colorado,"Provo, UT",1937,6-3 (0.667),Edwin R. ,Rocky Mountain Athletic Conference
L,"Sat, October 2",0 - 14,Utah,"Salt Lake City, UT",1937,6-3 (0.667),Edwin R. ,Rocky Mountain Athletic Conference
W,"Sat, October 9",34 - 0,UC Davis,"Provo, UT",1937,6-3 (0.667),Edwin R. ,Rocky Mountain Athletic Conference
L,"Sat, October 16",0 - 14,Colorado,"Boulder, CO",1937,6-3 (0.667),Edwin R. ,Rocky Mountain Athletic Conference
L,"Sat, October 23",10 - 13,Portland (OR),"Portland, OR",1937,6-3 (0.667),Edwin R. ,Rocky Mountain Athletic Conference
W,"Sat, October 30",21 - 0,Western St Colorado,"Provo, UT",1937,6-3 (0.667),Edwin R. ,Rocky Mountain Athletic Conference
W,"Sat, November 6",19 - 0,Wyoming,"Laramie, WY",1937,6-3 (0.667),Edwin R. ,Rocky Mountain Athletic Conference
W,"Sat, November 13",54 - 0,Utah St,"Logan, UT",1937,6-3 (0.667),Edwin R. ,Rocky Mountain Athletic Conference
W,"Sat, November 20",19 - 0,Montana St,"Provo, UT",1937,6-3 (0.667),Edwin R. ,Rocky Mountain Athletic Conference
W,"Sat, September 24",19 - 0,Northern Arizona,"Provo, UT",1938,4-3-1 (0.500),Edwin R. ,Skyline
W,"Fri, September 30",20 - 0,Denver,"Denver, CO",1938,4-3-1 (0.500),Edwin R. ,Skyline
W,"Sat, October 8",24 - 13,Wyoming,"Provo, UT",1938,4-3-1 (0.500),Edwin R. ,Skyline
T,"Sat, October 15",7 - 7,Utah,"Salt Lake City, UT",1938,4-3-1 (0.500),Edwin R. ,Skyline
L,"Sat, October 22",3 - 6,Portland (OR),"Provo, UT",1938,4-3-1 (0.500),Edwin R. ,Skyline
L,"Sat, November 5",0 - 3,Utah St,"Provo, UT",1938,4-3-1 (0.500),Edwin R. ,Skyline
L,"Sat, November 12",0 - 8,Colorado,"Boulder, CO",1938,4-3-1 (0.500),Edwin R. ,Skyline
W,"Sat, November 19",20 - 12,Colorado St,"Fort Collins, CO",1938,4-3-1 (0.500),Edwin R. ,Skyline
W,"Sat, September 23",25 - 0,Northern Arizona,"Flagstaff, AZ",1939,5-2-2 (0.556),Edwin R. ,Skyline
W,"Sat, October 7",13 - 12,Colorado St,"Provo, UT",1939,5-2-2 (0.556),Edwin R. ,Skyline
L,"Sat, October 14",13 - 35,Utah,"Provo, UT",1939,5-2-2 (0.556),Edwin R. ,Skyline
W,"Sat, October 21",7 - 0,Nevada,"Reno, NV",1939,5-2-2 (0.556),Edwin R. ,Skyline
W,"Fri, October 27",18 - 6,Northern Colorado,"Greeley, CO",1939,5-2-2 (0.556),Edwin R. ,Skyline
W,"Sat, November 4",21 - 18,Denver,"Denver, CO",1939,5-2-2 (0.556),Edwin R. ,Skyline
T,"Sat, November 11",0 - 0,Utah St,"Logan, UT",1939,5-2-2 (0.556),Edwin R. ,Skyline
L,"Sat, November 18",6 - 12,Colorado,"Provo, UT",1939,5-2-2 (0.556),Edwin R. ,Skyline
T,"Sat, November 25",7 - 7,Wyoming,"Laramie, WY",1939,5-2-2 (0.556),Edwin R. ,Skyline
T,"Sat, September 28",6 - 6,Nevada,"Provo, UT",1940,2-4-2 (0.250),Edwin R. ,Skyline
L,"Sat, October 5",6 - 12,Utah,"Salt Lake City, UT",1940,2-4-2 (0.250),Edwin R. ,Skyline
W,"Fri, October 11",20 - 0,Wyoming,"Provo, UT",1940,2-4-2 (0.250),Edwin R. ,Skyline
L,"Fri, October 18",20 - 21,Texas Tech,"Lubbock, TX",1940,2-4-2 (0.250),Edwin R. ,Skyline
W,"Sat, November 2",12 - 7,Utah St,"Provo, UT",1940,2-4-2 (0.250),Edwin R. ,Skyline
L,"Sat, November 9",0 - 9,Denver,"Provo, UT",1940,2-4-2 (0.250),Edwin R. ,Skyline
L,"Sat, November 16",2 - 25,Colorado,"Boulder, CO",1940,2-4-2 (0.250),Edwin R. ,Skyline
T,"Sat, November 23",13 - 13,Colorado St,"Fort Collins, CO",1940,2-4-2 (0.250),Edwin R. ,Skyline
L,"Fri, September 26",7 - 20,Montana,"Provo, UT",1941,4-3-2 (0.444),Edwin R. ,Skyline
W,"Fri, October 3",26 - 0,Northern Colorado,"Provo, UT",1941,4-3-2 (0.444),Edwin R. ,Skyline
W,"Fri, October 10",13 - 7,Denver,"Denver, CO",1941,4-3-2 (0.444),Edwin R. ,Skyline
T,"Sat, October 18",6 - 6,Utah,"Salt Lake City, UT",1941,4-3-2 (0.444),Edwin R. ,Skyline
L,"Fri, October 24",13 - 25,San Francisco (CA),"San Francisco, CA",1941,4-3-2 (0.444),Edwin R. ,Skyline
W,"Sat, November 1",28 - 0,Utah St,"Logan, UT",1941,4-3-2 (0.444),Edwin R. ,Skyline
W,"Sat, November 8",23 - 7,Wyoming,"Laramie, WY",1941,4-3-2 (0.444),Edwin R. ,Skyline
T,"Sat, November 15",13 - 13,Colorado,"Provo, UT",1941,4-3-2 (0.444),Edwin R. ,Skyline
L,"Sat, November 22",7 - 22,Colorado St,"Provo, UT",1941,4-3-2 (0.444),Edwin R. ,Skyline
W,"Sat, September 26",12 - 6,Montana,"Missoula, MT",1942,2-5 (0.286),W. Floyd Millet,Skyline
L,"Fri, October 2",6 - 13,Wyoming,"Provo, UT",1942,2-5 (0.286),W. Floyd Millet,Skyline
W,"Sat, October 10",12 - 7,Utah,"Salt Lake City, UT",1942,2-5 (0.286),W. Floyd Millet,Skyline
L,"Fri, October 16",13 - 24,Fort Douglas (UT),"Provo, UT",1942,2-5 (0.286),W. Floyd Millet,Skyline
L,"Sat, October 31",6 - 9,Utah St,"Provo, UT",1942,2-5 (0.286),W. Floyd Millet,Skyline
L,"Sat, November 7",6 - 26,Denver,"Provo, UT",1942,2-5 (0.286),W. Floyd Millet,Skyline
L,"Sat, November 14",0 - 48,Colorado,"Boulder, CO",1942,2-5 (0.286),W. Floyd Millet,Skyline
W,"Sun, September 22",13 - 2,Western St Colorado,"Provo, UT",1946,5-4-1 (0.500),Edwin R. ,Skyline
L,"Sat, September 28",12 - 13,Montana St,"Bozeman, MT",1946,5-4-1 (0.500),Edwin R. ,Skyline
L,"Fri, October 4",13 - 26,Denver,"Denver, CO",1946,5-4-1 (0.500),Edwin R. ,Skyline
L,"Sat, October 12",6 - 35,Utah,"Provo, UT",1946,5-4-1 (0.500),Edwin R. ,Skyline
W,"Sat, October 19",10 - 7,Colorado,"Provo, UT",1946,5-4-1 (0.500),Edwin R. ,Skyline
L,"Fri, October 25",0 - 14,San Jose St,"San Jose, CA",1946,5-4-1 (0.500),Edwin R. ,Skyline
W,"Sat, November 2",6 - 3,Wyoming,"Provo, UT",1946,5-4-1 (0.500),Edwin R. ,Skyline
T,"Sat, November 9",0 - 0,Utah St,"Logan, UT",1946,5-4-1 (0.500),Edwin R. ,Skyline
W,"Sat, November 16",20 - 6,Colorado St,"Fort Collins, CO",1946,5-4-1 (0.500),Edwin R. ,Skyline
